,url,label
0,//avatars.mds.yandex.net/get-realty-offers/13693183/888c6182-8597-426f-885f-ec4f415d9a1a/large_1242,5
1,//avatars.mds.yandex.net/get-realty-offers/9888222/b37cb516-caba-4515-8c08-afb3ddc0647e/large_1242,5
2,//avatars.mds.yandex.net/get-realty-offers/12719313/344cdcd6-4fb3-4ff5-853a-a75e3c5ba0c1/large_1242,5
3,//avatars.mds.yandex.net/get-realty-offers/13844304/d1049d62-bed3-4a55-bda2-11cb369adb6c/large_1242,5
4,//avatars.mds.yandex.net/get-realty-offers/10159823/c4a4851e-1044-4699-b28b-24c9f87f8106/large_1242,5
5,//avatars.mds.yandex.net/get-realty-offers/12849436/0cc478ad-58f1-4750-b64f-d3f033b7fdc3/large_1242,5
6,//avatars.mds.yandex.net/get-realty-offers/13531690/676e5e8a-f731-4e6c-91bb-c0a4368d96bd/large_1242,4
7,//avatars.mds.yandex.net/get-realty-offers/13745081/e5360937-d86f-43bb-af56-45635abeba5b/large_1242,5
8,//avatars.mds.yandex.net/get-realty-offers/13920606/21988b9f-045d-4999-91f6-3b401ba90c45/large_1242,5
9,//avatars.mds.yandex.net/get-realty-offers/14918062/eb814337-6f40-41ce-99d2-40d31646e02c/large_1242,5
10,//avatars.mds.yandex.net/get-realty-offers/14373170/bef0c5a0-01c8-46d9-9eba-b5e6f9c555a2/large_1242,5
11,//avatars.mds.yandex.net/get-realty-offers/13745081/9a378328-6431-43ca-b7c0-a4967b409847/large_1242,5
12,//avatars.mds.yandex.net/get-realty-offers/15229691/b876bce0-62a7-4e13-83be-aaf9ab58a1e0/large_1242,5
13,//avatars.mds.yandex.net/get-realty-offers/15028371/f3023155-0044-48c9-b0ce-533d36b481e6/large_1242,5
14,//avatars.mds.yandex.net/get-realty-offers/15363439/32c55bc3-775d-44a7-9da6-694571ac4a2c/large_1242,5
15,//avatars.mds.yandex.net/get-realty-offers/12346937/e709998a-0ccc-43d5-ba68-af30e0209bba/large_1242,5
16,//avatars.mds.yandex.net/get-realty-offers/10504983/1b90b3fe-d944-4f2e-a3ba-bdd257dbda70/large_1242,5
17,//avatars.mds.yandex.net/get-realty-offers/13693183/888c6182-8597-426f-885f-ec4f415d9a1a/large_1242,5
18,//avatars.mds.yandex.net/get-realty-offers/13865254/0a1978f0-cef3-406b-a40e-a1f5353d2ea4/large_1242,5
19,//avatars.mds.yandex.net/get-realty-offers/12719313/344cdcd6-4fb3-4ff5-853a-a75e3c5ba0c1/large_1242,5
20,//avatars.mds.yandex.net/get-realty-offers/13844304/d1049d62-bed3-4a55-bda2-11cb369adb6c/large_1242,5
21,//avatars.mds.yandex.net/get-realty-offers/10159823/c4a4851e-1044-4699-b28b-24c9f87f8106/large_1242,5
22,//avatars.mds.yandex.net/get-realty-offers/12849436/0cc478ad-58f1-4750-b64f-d3f033b7fdc3/large_1242,5
23,//avatars.mds.yandex.net/get-realty-offers/10129302/78e7b251-e26d-4c4a-a8d3-b31b07947799/large_1242,5
24,//avatars.mds.yandex.net/get-realty-offers/9888222/b37cb516-caba-4515-8c08-afb3ddc0647e/large_1242,5
25,//avatars.mds.yandex.net/get-realty-offers/12719313/344cdcd6-4fb3-4ff5-853a-a75e3c5ba0c1/large_1242,5
26,//avatars.mds.yandex.net/get-realty-offers/13844304/d1049d62-bed3-4a55-bda2-11cb369adb6c/large_1242,5
27,//avatars.mds.yandex.net/get-realty-offers/10159823/c4a4851e-1044-4699-b28b-24c9f87f8106/large_1242,5
28,//avatars.mds.yandex.net/get-realty-offers/12849436/0cc478ad-58f1-4750-b64f-d3f033b7fdc3/large_1242,5
